Year,Date,HomeTeam,HomeBonus,AwayTeam,AwayBonus,HomeScore,AwayScore,Stadium
2002,16/02/2002,England,0,Ireland,0,45,11,Twickenham Stadium
2002,16/02/2002,Italy,0,Scotland,0,12,29,Stadio Flaminio
2002,02/03/2002,France,0,England,0,20,15,Stade de France
2002,02/03/2002,Wales,0,Italy,0,44,20,Millennium Stadium
2002,02/03/2002,Ireland,0,Scotland,0,43,22,Lansdowne Road
2002,23/03/2002,Ireland,0,Italy,0,32,17,Lansdowne Road
2002,23/03/2002,England,0,Wales,0,50,10,Twickenham Stadium
2002,23/03/2002,Scotland,0,France,0,10,22,Murrayfield Stadium
2002,06/04/2002,France,0,Ireland,0,44,5,Stade de France
2002,06/04/2002,Wales,0,Scotland,0,22,27,Millennium Stadium
2002,07/04/2002,Italy,0,England,0,9,45,Stadio Flaminio
2003,15/02/2003,Italy,0,Wales,0,30,22,Stadio Flaminio
2003,15/02/2003,England,0,France,0,25,17,Twickenham Stadium
2003,16/02/2003,Scotland,0,Ireland,0,6,36,Murrayfield Stadium
2003,22/02/2003,Italy,0,Ireland,0,13,37,Stadio Flaminio
2003,22/02/2003,Wales,0,England,0,9,26,Millennium Stadium
2003,23/02/2003,France,0,Scotland,0,38,3,Stade de France
2003,08/03/2003,Ireland,0,France,0,15,12,Lansdowne Road
2003,08/03/2003,Scotland,0,Wales,0,30,22,Murrayfield Stadium
2003,09/03/2003,England,0,Italy,0,40,5,Twickenham Stadium
2003,22/03/2003,Wales,0,Ireland,0,24,25,Millennium Stadium
2003,22/03/2003,England,0,Scotland,0,40,9,Twickenham Stadium
2003,23/03/2003,Italy,0,France,0,27,53,Stadio Flaminio
2003,29/03/2003,France,0,Wales,0,33,5,Stade de France
2003,29/03/2003,Scotland,0,Italy,0,33,25,Murrayfield Stadium
2003,30/03/2003,Ireland,0,England,0,6,42,Lansdowne Road
2004,14/02/2004,France,0,Ireland,0,35,17,Stade de France
2004,14/02/2004,Wales,0,Scotland,0,23,10,Millennium Stadium
2004,15/02/2004,Italy,0,England,0,9,50,Stadio Flaminio
2004,21/02/2004,France,0,Italy,0,25,0,Stade de France
2004,21/02/2004,Scotland,0,England,0,13,35,Murrayfield Stadium
2004,22/02/2004,Ireland,0,Wales,0,36,15,Lansdowne Road
2004,06/03/2004,Italy,0,Scotland,0,20,14,Stadio Flaminio
2004,06/03/2004,England,0,Ireland,0,13,19,Twickenham Stadium
2004,07/03/2004,Wales,0,France,0,22,29,Millennium Stadium
2004,20/03/2004,Ireland,0,Italy,0,19,3,Lansdowne Road
2004,20/03/2004,England,0,Wales,0,31,21,Twickenham Stadium
2004,21/03/2004,Scotland,0,France,0,0,31,Murrayfield Stadium
2004,27/03/2004,Wales,0,Italy,0,44,10,Millennium Stadium
2004,27/03/2004,Ireland,0,Scotland,0,37,16,Lansdowne Road
2004,27/03/2004,France,0,England,0,24,21,Stade de France
2005,05/02/2005,France,0,Scotland,0,16,9,Stade de France
2005,05/02/2005,Wales,0,England,0,11,9,Millennium Stadium
2005,06/02/2005,Italy,0,Ireland,0,17,28,Stadio Flaminio
2005,12/02/2005,Italy,0,Wales,0,8,38,Stadio Flaminio
2005,12/02/2005,Scotland,0,Ireland,0,13,40,Murrayfield Stadium
2005,13/02/2005,England,0,France,0,17,18,Twickenham Stadium
2005,26/02/2005,Scotland,0,Italy,0,18,10,Murrayfield Stadium
2005,26/02/2005,France,0,Wales,0,18,24,Stade de France
2005,27/02/2005,Ireland,0,England,0,19,13,Lansdowne Road
2005,12/03/2005,Ireland,0,France,0,19,26,Lansdowne Road
2005,12/03/2005,England,0,Italy,0,39,7,Twickenham Stadium
2005,13/03/2005,Scotland,0,Wales,0,22,46,Murrayfield Stadium
2005,19/03/2005,Italy,0,France,0,13,56,Stadio Flaminio
2005,19/03/2005,Wales,0,Ireland,0,32,20,Millennium Stadium
2005,19/03/2005,England,0,Scotland,0,43,22,Twickenham Stadium
2006,04/02/2006,Ireland,0,Italy,0,26,16,Lansdowne Road
2006,04/02/2006,England,0,Wales,0,47,13,Twickenham Stadium
2006,05/02/2006,Scotland,0,France,0,20,16,Murrayfield Stadium
2006,11/02/2006,France,0,Ireland,0,43,31,Stade de France
2006,11/02/2006,Italy,0,England,0,16,31,Stadio Flaminio
2006,12/02/2006,Wales,0,Scotland,0,28,18,Millennium Stadium
2006,25/02/2006,France,0,Italy,0,37,12,Stade de France
2006,25/02/2006,Scotland,0,England,0,18,12,Murrayfield Stadium
2006,26/02/2006,Ireland,0,Wales,0,31,5,Lansdowne Road
2006,11/03/2006,Wales,0,Italy,0,18,18,Millennium Stadium
2006,11/03/2006,Ireland,0,Scotland,0,15,9,Lansdowne Road
2006,12/03/2006,France,0,England,0,31,6,Stade de France
2006,18/03/2006,Italy,0,Scotland,0,10,13,Stadio Flaminio
2006,18/03/2006,Wales,0,France,0,16,21,Millennium Stadium
2006,18/03/2006,England,0,Ireland,0,24,28,Twickenham Stadium
2007,03/02/2007,Italy,0,France,0,3,39,Stadio Flaminio
2007,03/02/2007,England,0,Scotland,0,42,20,Twickenham Stadium
2007,04/02/2007,Wales,0,Ireland,0,9,19,Millennium Stadium
2007,10/02/2007,England,0,Italy,0,20,7,Twickenham Stadium
2007,10/02/2007,Scotland,0,Wales,0,21,9,Murrayfield Stadium
2007,11/02/2007,Ireland,0,France,0,17,20,Croke Park
2007,24/02/2007,Scotland,0,Italy,0,17,37,Murrayfield Stadium
2007,24/02/2007,Ireland,0,England,0,43,13,Croke Park
2007,24/02/2007,France,0,Wales,0,32,21,Stade de France
2007,10/03/2007,Scotland,0,Ireland,0,18,19,Murrayfield Stadium
2007,10/03/2007,Italy,0,Wales,0,23,20,Stadio Flaminio
2007,11/03/2007,England,0,France,0,26,18,Twickenham Stadium
2007,17/03/2007,Italy,0,Ireland,0,24,51,Stadio Flaminio
2007,17/03/2007,France,0,Scotland,0,46,19,Stade de France
2007,17/03/2007,Wales,0,England,0,27,18,Millennium Stadium
2008,02/02/2008,Ireland,0,Italy,0,16,11,Croke Park
2008,02/02/2008,England,0,Wales,0,19,26,Twickenham Stadium
2008,03/02/2008,Scotland,0,France,0,6,27,Murrayfield Stadium
2008,09/02/2008,Wales,0,Scotland,0,30,15,Millennium Stadium
2008,09/02/2008,France,0,Ireland,0,26,21,Stade de France
2008,10/02/2008,Italy,0,England,0,19,23,Stadio Flaminio
2008,23/02/2008,Wales,0,Italy,0,47,8,Millennium Stadium
2008,23/02/2008,Ireland,0,Scotland,0,34,13,Croke Park
2008,23/02/2008,France,0,England,0,13,24,Stade de France
2008,08/03/2008,Ireland,0,Wales,0,12,16,Croke Park
2008,08/03/2008,Scotland,0,England,0,15,9,Murrayfield Stadium
2008,09/03/2008,France,0,Italy,0,25,13,Stade de France
2008,15/03/2008,Italy,0,Scotland,0,23,20,Stadio Flaminio
2008,15/03/2008,England,0,Ireland,0,33,10,Twickenham Stadium
2008,15/03/2008,Wales,0,France,0,29,12,Millennium Stadium
2009,07/02/2009,England,0,Italy,0,36,11,Twickenham Stadium
2009,07/02/2009,Ireland,0,France,0,30,21,Croke Park
2009,08/02/2009,Scotland,0,Wales,0,13,26,Murrayfield Stadium
2009,14/02/2009,France,0,Scotland,0,22,13,Stade de France
2009,14/02/2009,Wales,0,England,0,23,15,Millennium Stadium
2009,15/02/2009,Italy,0,Ireland,0,9,38,Stadio Flaminio
2009,27/02/2009,France,0,Wales,0,21,16,Stade de France
2009,28/02/2009,Scotland,0,Italy,0,26,6,Murrayfield Stadium
2009,28/02/2009,Ireland,0,England,0,14,13,Croke Park
2009,14/03/2009,Italy,0,Wales,0,15,20,Stadio Flaminio
2009,14/03/2009,Scotland,0,Ireland,0,15,22,Murrayfield Stadium
2009,15/03/2009,England,0,France,0,34,10,Twickenham Stadium
2009,21/03/2009,Italy,0,France,0,8,50,Stadio Flaminio
2009,21/03/2009,England,0,Scotland,0,26,12,Twickenham Stadium
2009,21/03/2009,Wales,0,Ireland,0,15,17,Millennium Stadium
2010,06/02/2010,Ireland,0,Italy,0,29,11,Croke Park
2010,06/02/2010,England,0,Wales,0,30,17,Twickenham Stadium
2010,07/02/2010,Scotland,0,France,0,9,18,Murrayfield Stadium
2010,13/02/2010,Wales,0,Scotland,0,31,24,Millennium Stadium
2010,13/02/2010,France,0,Ireland,0,33,10,Stade de France
2010,14/02/2010,Italy,0,England,0,12,17,Stadio Flaminio
2010,26/02/2010,Wales,0,France,0,20,26,Millennium Stadium
2010,27/02/2010,Italy,0,Scotland,0,16,12,Stadio Flaminio
2010,27/02/2010,England,0,Ireland,0,16,20,Twickenham Stadium
2010,13/03/2010,Ireland,0,Wales,0,27,12,Croke Park
2010,13/03/2010,Scotland,0,England,0,15,15,Murrayfield Stadium
2010,14/03/2010,France,0,Italy,0,46,20,Stade de France
2010,20/03/2010,Wales,0,Italy,0,33,10,Millennium Stadium
2010,20/03/2010,Ireland,0,Scotland,0,20,23,Croke Park
2010,20/03/2010,France,0,England,0,12,10,Stade de France
2011,04/02/2011,Wales,0,England,0,19,26,Millennium Stadium
2011,05/02/2011,Italy,0,Ireland,0,11,13,Stadio Flaminio
2011,05/02/2011,France,0,Scotland,0,34,21,Stade de France
2011,12/02/2011,England,0,Italy,0,59,13,Twickenham Stadium
2011,12/02/2011,Scotland,0,Wales,0,6,24,Murrayfield Stadium
2011,13/02/2011,Ireland,0,France,0,22,25,Aviva Stadium
2011,26/02/2011,Italy,0,Wales,0,16,24,Stadio Flaminio
2011,26/02/2011,England,0,France,0,17,9,Twickenham Stadium
2011,27/02/2011,Scotland,0,Ireland,0,18,21,Murrayfield Stadium
2011,12/03/2011,Italy,0,France,0,22,21,Stadio Flaminio
2011,12/03/2011,Wales,0,Ireland,0,19,13,Millennium Stadium
2011,13/03/2011,England,0,Scotland,0,22,16,Twickenham Stadium
2011,19/03/2011,Scotland,0,Italy,0,21,8,Murrayfield Stadium
2011,19/03/2011,Ireland,0,England,0,24,8,Aviva Stadium
2011,19/03/2011,France,0,Wales,0,28,9,Stade de France
2012,04/02/2012,France,0,Italy,0,30,12,Stade de France
2012,04/02/2012,Scotland,0,England,0,6,13,Murrayfield Stadium
2012,05/02/2012,Ireland,0,Wales,0,21,23,Aviva Stadium
2012,11/02/2012,Italy,0,England,0,15,19,Stadio Olimpico
2012,12/02/2012,Wales,0,Scotland,0,27,13,Millennium Stadium
2012,25/02/2012,Ireland,0,Italy,0,42,10,Aviva Stadium
2012,25/02/2012,England,0,Wales,0,12,19,Twickenham Stadium
2012,26/02/2012,Scotland,0,France,0,17,23,Murrayfield Stadium
2012,04/03/2012,France,0,Ireland,0,17,17,Stade de France
2012,10/03/2012,Wales,0,Italy,0,24,3,Millennium Stadium
2012,10/03/2012,Ireland,0,Scotland,0,32,14,Aviva Stadium
2012,11/03/2012,France,0,England,0,22,24,Stade de France
2012,17/03/2012,Italy,0,Scotland,0,13,6,Stadio Olimpico
2012,17/03/2012,Wales,0,France,0,16,9,Millennium Stadium
2012,17/03/2012,England,0,Ireland,0,30,9,Twickenham Stadium
2013,02/02/2013,Wales,0,Ireland,0,22,30,Millennium Stadium
2013,02/02/2013,England,0,Scotland,0,38,18,Twickenham Stadium
2013,03/02/2013,Italy,0,France,0,23,18,Stadio Olimpico
2013,09/02/2013,Scotland,0,Italy,0,34,10,Murrayfield Stadium
2013,09/02/2013,France,0,Wales,0,6,16,Stade de France
2013,10/02/2013,Ireland,0,England,0,6,12,Aviva Stadium
2013,23/02/2013,Italy,0,Wales,0,9,26,Stadio Olimpico
2013,23/02/2013,England,0,France,0,23,13,Twickenham Stadium
2013,24/02/2013,Scotland,0,Ireland,0,12,8,Murrayfield Stadium
2013,09/03/2013,Scotland,0,Wales,0,18,28,Murrayfield Stadium
2013,09/03/2013,Ireland,0,France,0,13,13,Aviva Stadium
2013,10/03/2013,England,0,Italy,0,18,11,Twickenham Stadium
2013,16/03/2013,Italy,0,Ireland,0,22,15,Stadio Olimpico
2013,16/03/2013,Wales,0,England,0,30,3,Millennium Stadium
2013,16/03/2013,France,0,Scotland,0,23,16,Stade de France
2014,01/02/2014,Wales,0,Italy,0,23,15,Millennium Stadium
